artist,title,popularity
Alok,On & On,79
Alok,All The Lies,56
Alok,Hear Me Now,75
Alok,The Wall,65
Alok,Hear Me Now,52
Alok,Toda La Noche,45
Alok,On & On,79
Alok,The Wall,61
Alok,Tell Me Why,61
Alok,Metaphor,61
Alok,Vale Vale,56
Alok,All The Lies,71
Alok,The Wall,61
Alok,On & On,79
Alok,Favela,69
Alok,On & On,79
Alok,Tell Me Why,61
Alok,The Wall,61
Alok,Metaphor,61
Atlas Genius,Stockholm,52
Atlas Genius,When It Was Now,25
Atlas Genius,Can't Be Alone Tonight,46
Atlas Genius,Trojans,60
Au/Ra,Ghost,72
Au/Ra,Panic Room,75
Au/Ra,Ghost - The Him Remix,44
Au/Ra,Panic Room - Club Mix,46
Au/Ra,Panic Room,67
Beyoncé,Hold Up,75
Beyoncé,Halo,77
Beyoncé,Run the World (Girls),75
Beyoncé,Run the World (Girls),75
Beyoncé,Halo,66
Beyoncé,Irreplaceable,72
Beyoncé,Crazy In Love (feat. Jay-Z),69
Beyoncé,7/11,71
Beyoncé,7/11,71
Beyoncé,Jealous,55
Beyoncé,Single Ladies (Put a Ring on It),69
Beyoncé,Crazy In Love (feat. Jay-Z),75
Beyoncé,ALREADY,69
Beyoncé,MOOD 4 EVA (feat. Oumou Sangaré),64
Beyoncé,"Me, Myself and I",66
Beyoncé,7/11,71
Beyoncé,If I Were a Boy,68
Beyoncé,Pray You Catch Me,62
Beyoncé,Forward (feat. James Blake),56
Beyoncé,Halo,77
Beyoncé,Formation,77
Beyoncé,Hold Up,75
Beyoncé,Partition,71
Beyoncé,7/11,71
Beyoncé,"Me, Myself and I",66
Black Stone Cherry,Blame It on the Boom Boom,57
Black Stone Cherry,White Trash Millionaire,56
Black Stone Cherry,Me And Mary Jane,49
Black Stone Cherry,Rain Wizard,38
Black Stone Cherry,Be Cowboy (PBR Anthem),41
Black Stone Cherry,Can't You See,54
BUNT.,Journey Feat. Emma Carn - Radio Mix,30
BUNT.,Journey - Radio Mix,48
BUNT.,Old Guitar,49
C-Kan,La Vida Me Hizo Cabron,49
C-Kan,Santa Maria,48
C-Kan,M-E-X-I-C-O,48
C-Kan,Un Par De Balas,57
Camila Cabello,Havana,26
Camila Cabello,Cry for Me,73
Camila Cabello,Liar,87
Camila Cabello,Liar,87
Camila Cabello,Easy,78
Camila Cabello,Cry for Me,73
Camila Cabello,My Oh My (feat. DaBaby),94
Camila Cabello,Easy,73
Camila Cabello,Liar,77
Camila Cabello,Shameless,73
Camila Cabello,Cry for Me,70
Camila Cabello,Havana (feat. Young Thug),84
Camila Cabello,Havana,26
Camila Cabello,Havana (feat. Young Thug),84
Camila Cabello,Liar,87
Camila Cabello,My Oh My (feat. DaBaby),94
Camila Cabello,My Oh My (feat. DaBaby),94
Camila Cabello,Liar,87
Camila Cabello,My Oh My (feat. DaBaby),94
Camila Cabello,Liar,87
Camila Cabello,Havana - Remix,69
Camila Cabello,Liar,87
Camila Cabello,My Oh My (feat. DaBaby),94
Camila Cabello,Consequences,73
Camila Cabello,Havana (feat. Young Thug),84
Camila Cabello,My Oh My (feat. DaBaby),94
Camila Cabello,Should've Said It,74
Camila Cabello,Havana (feat. Young Thug),84
Camila Cabello,Cry for Me,73
Camila Cabello,Liar,87
Camila Cabello,Never Be the Same,66
Camila Cabello,Real Friends,63
Camila Cabello,Havana,26
Camila Cabello,My Oh My (feat. DaBaby),94
Camila Cabello,Liar,87
Camila Cabello,Shameless,76
Camila Cabello,Easy,78
Camila Cabello,Cry for Me,73
Camilo,La Difícil,78
Camilo,Tutu,88
Camilo,No Te Vayas,78
Camilo,Tutu - Remix,77
Camilo,Tutu,88
Camilo,La Difícil,78
Camilo,Tutu - Remix,77
Camilo,Tutu,88
Camilo,Tutu - Remix,77
Chris Goldarg,Spell on Me,17
Chris Goldarg,The Activist,18
Chris Goldarg,Carousel,16
Chris Goldarg,Overdue,16
Chris Goldarg,Don't Play,14
Chris Goldarg,Surrender,17
Chris Goldarg,Nakamoto,15
Chris Goldarg,X Ray,15
Chris Goldarg,All Mine,17
Chris Goldarg,Pumpkin Soup,19
DA Image,Remember Me,34
DA Image,Upper Echelon,38
DA Image,Upper Echelon,38
David Lee Roth,California Girls,46
David Lee Roth,Just Like Paradise,55
David Lee Roth,Just Like Paradise,55
Elisa,Tua Per Sempre,64
Elisa,Anche Fragile,8
Elisa,Vivere Tutte Le Vite - con Carl Brave,66
Frank Ocean,Pink + White,77
Frank Ocean,Thinkin Bout You,75
Frank Ocean,Chanel,82
Frank Ocean,Forrest Gump,65
Frank Ocean,Ivy,77
Frank Ocean,Pink + White,77
Frank Ocean,Novacane,71
Frank Ocean,Thinkin Bout You,75
Frank Ocean,Swim Good,65
Frank Ocean,Lost,67
Frank Ocean,Pink Matter,65
Frank Ocean,Forrest Gump,65
Frank Ocean,Nikes,72
Frank Ocean,Ivy,77
Frank Ocean,Solo,69
Frank Ocean,Good Guy,64
Frank Ocean,Nights,78
Frank Ocean,White Ferrari,71
Frank Ocean,Godspeed,66
Frank Ocean,Chanel,82
Frank Ocean,Lens,61
Frank Ocean,Biking (Solo),59
Frank Ocean,Provider,67
Frank Ocean,Moon River,70
Frank Ocean,Pink + White,77
Frank Ocean,Thinkin Bout You,75
Frank Ocean,In My Room,79
Frank Ocean,Pilot Jones,55
Frank Ocean,Monks,57
Frank Ocean,Chanel,82
Frank Ocean,Lost,67
Frank Ocean,Pink Matter,65
Frank Ocean,Pink + White,77
Frank Ocean,Lens,61
Frank Ocean,Moon River,70
Frank Ocean,Nights,78
Frank Ocean,Sweet Life,58
Frank Ocean,Self Control,74
Frank Ocean,Lost,68
Frank Ocean,Hero,51
Freestyle,Don't Stop The Rock,39
Freestyle,The Party Has Begun,28
Freestyle,It's Automatic,34
Hinder,Lips Of An Angel,71
Hinder,Better Than Me,61
Hinder,Without You,56
Hinder,Lips Of An Angel,71
Hinder,Use Me,45
Hinder,Get Stoned,60
Honeywagon,Billie Jean,34
Honeywagon,Beat It,31
Honeywagon,The Way You Make Me Feel,30
House Of Pain,Jump Around,74
House Of Pain,Put Your Head Out,40
House Of Pain,Top O' the Morning to Ya,48
House Of Pain,House and the Rising Son,36
House Of Pain,Shamrocks and Shenanigans,43
J. Cole,No Role Modelz,82
J. Cole,No Role Modelz,82
J. Cole,MIDDLE CHILD,86
J. Cole,Deja Vu,70
J. Cole,MIDDLE CHILD,86
J. Cole,MIDDLE CHILD,86
J. Cole,MIDDLE CHILD,86
J. Cole,Wet Dreamz,78
J. Cole,Apparently,69
J. Cole,Wet Dreamz,78
J. Cole,Let Nas Down,56
J. Cole,St. Tropez,61
Jazzinuf,Moonlight Bossa,53
Jazzinuf,Soul Mates,52
Jazzinuf,Caffè Mocha,44
Jazzinuf,Coconut Airline,42
Jazzinuf,Moon and Tonic,44
Jazzinuf,Bubbly,40
Jean Juan,Reflections (UOAK Remix),30
Jean Juan,Don't Forget Me,40
Jean Juan,Reflections,42
Jean Juan,Only Me,39
Jean Juan,Little Black Dress,33
Kendrick Lamar,Swimming Pools (Drank),7
Kendrick Lamar,HUMBLE.,12
Kendrick Lamar,King Kunta,10
Kendrick Lamar,HUMBLE.,84
Kendrick Lamar,HUMBLE.,84
Kendrick Lamar,LOVE. FEAT. ZACARI.,80
Kendrick Lamar,Poetic Justice,68
Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,73
Kendrick Lamar,m.A.A.d city,65
Kendrick Lamar,HUMBLE.,84
Kendrick Lamar,Backseat Freestyle,67
Kendrick Lamar,The Recipe - Bonus Track,60
Kendrick Lamar,HUMBLE.,12
Kendrick Lamar,DNA.,79
Kendrick Lamar,HUMBLE.,7
Kendrick Lamar,XXX. FEAT. U2.,67
Kendrick Lamar,ELEMENT.,72
Kendrick Lamar,Swimming Pools (Drank),7
Kendrick Lamar,A.D.H.D,15
Kendrick Lamar,m.A.A.d city,67
Kendrick Lamar,Money Trees,66
Kendrick Lamar,HUMBLE.,84
Kendrick Lamar,All The Stars (with SZA),79
Kendrick Lamar,LOVE. FEAT. ZACARI.,80
Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,73
Kendrick Lamar,Swimming Pools (Drank),7
Kendrick Lamar,m.A.A.d city,67
Kendrick Lamar,"Bitch, Don’t Kill My Vibe",64
Kendrick Lamar,HUMBLE.,84
Kendrick Lamar,DNA.,79
Kendrick Lamar,m.A.A.d city,67
Kid Frost,La Raza,51
Kid Frost,La Raza,51
Kid Frost,Ya Estuvo,20
León Larregui,Como Tú (Magic Music Box),63
León Larregui,Souvenir,62
León Larregui,Locos,71
Lil Skies,I,81
Lil Skies,Nowadays (feat. Landon Cube),76
Lil Skies,I,81
Mia X,Play Wit Pussy,10
Mia X,You & Me,8
Mia X,Bring It On,14
Mia X,Whatcha Wanna Do,21
Michael Kiwanuka,One More Night,61
Michael Kiwanuka,Any Day Will Do Fine,29
Michael Kiwanuka,Cold Little Heart - Radio Edit,71
Mike WiLL Made-It,23,68
Mike WiLL Made-It,Y'all Ain't Ready (feat. 2 Chainz),34
Mike WiLL Made-It,Razzle Dazzle (feat. Future),39
Mike WiLL Made-It,"Gucci On My (feat. 21 Savage, YG & Migos)",60
Mike WiLL Made-It,"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)",62
Mike WiLL Made-It,"Runnin (with A$AP Rocky, A$AP Ferg & Nicki Minaj)",66
Mike WiLL Made-It,Aries (YuGo) Part 2 (with Rae Sremmurd & Big Sean feat. Quavo & Pharrell),62
Missy Elliott,Work It,70
Missy Elliott,One Minute Man (feat. Ludacris),56
Missy Elliott,Bad Man,42
Missy Elliott,Work It,70
Missy Elliott,Get Ur Freak On,70
MTK,Certo pra Você,32
MTK,Me Diz,46
MTK,"Pode Me Esperar (feat. Meucci, Tasdan & Agatha)",54
MTK,Despedida (feat. Anna & RNT),45
NODE,Limbo (feat. Gilli),61
NODE,Mafiosa,53
NODE,Ra Ta Ta Ta (feat. Stepz),55
NODE,Samme Vej,49
NODE,Ghettostjerne (feat. ZK),49
Placebo,Running Up That Hill,42
Placebo,Song to Say Goodbye,57
Placebo,Meds,55
Placebo,Special K,55
Placebo,Every You Every Me,66
Placebo,This Picture,59
Röyksopp,In the End (Lost Tapes),45
Röyksopp,Do It Again,36
Röyksopp,Do It Again,36
Röyksopp,The Girl and the Robot - Spencer & Hill Remix,16
Sean Kingston,Beautiful Girls,77
Sean Kingston,Fire Burning,69
Soul&Roll,Party Like It's 1999,15
Soul&Roll,Working 9 to 5,13
Soul&Roll,I Wanna Be with You Everywhere,30
Soul&Roll,Don't Stop Believing,33
Soul&Roll,I Wanna Be with You Everywhere,30
Sufjan Stevens,Should Have Known Better,65
Sufjan Stevens,Mystery of Love,67
Sufjan Stevens,Should Have Known Better,65
Tamar Braxton,Love and War,53
Tamar Braxton,Thank You Lord,27
Tamar Braxton,Sleigh Ride,42
The Blaze,Territory,64
The Blaze,Juvenile,59
The Blaze,Territory,64
The Blaze,Heaven,62
The Wrecks,Favorite Liar,57
The Wrecks,Freaking Out,53
The Wrecks,Freaking Out,53
The xx,On Hold,65
The xx,Intro,72
The xx,Crystalised,66
The xx,Blood Red Moon (Demo),43
The xx,Islands,62
The xx,I Dare You,63
The xx,On Hold,7
The xx,On Hold,65
TV Noise,EDM O' CLOCK,50
TV Noise,Ratata,38
TV Noise,Rave,42
TV Noise,Lasers,41
TV Noise,Mumble,42
TV Noise,Fire,39
TV Noise,Bring It Back,39
TV Noise,808,34
TV Noise,Freaky All Night,33
TV Noise,Weird,29
TV Noise,Rhythm,30
TV Noise,Scream,29
TV Noise,Ratata,38
TV Noise,EDM O' CLOCK,50
Vampire Weekend,Hannah Hunt,62
Vampire Weekend,White Sky,50
Vampire Weekend,A-Punk,69
Vampire Weekend,Hannah Hunt,62
Vampire Weekend,Sunflower (feat. Steve Lacy),65
Vampire Weekend,Harmony Hall,70
X Ambassadors,BOOM,62
X Ambassadors,OPTIMISTIC,46
X Ambassadors,HOLD YOU DOWN,62
X Ambassadors,Unsteady,77
X Ambassadors,Unsteady,59
X Ambassadors,JOYFUL,46
X Ambassadors,Renegades - Stash Konig Remix,49
Zeds Dead,Frontlines,58
Zeds Dead,Stardust,44
Zeds Dead,Save My Grave,54
Zeds Dead,Shake,49
Zeds Dead,Sound Of The Underground,48
